Galaxy,Y*,rho0,Rs,a,Y*_error,rho0_error,Rs_error,a_err
NGC5585,0.42906425776195767,6321628.8137254855,5.4800035483612985,1.940468202395454,[0.42875045 0.42939397],[6314045.51346674 6328099.70974366],[5.47793305 5.48182159],[1.93659916 1.9444885 ]
UGC05764,0.00015187250487740854,19209282.830322385,1.7561805781743154,0.38087443794254205,[3.80436459e-05 3.77730927e-04],[19164204.91242935 19254769.65200941],[1.75404095 1.75796303],[0.37974548 0.38187413]
DDO161,0.2847287809643504,1114620.4586036485,9.210134224561317,1.1346808199170324,[0.27795271 0.29121616],[1111668.30991607 1117113.46027194],[9.20131247 9.22055193],[1.12571546 1.14281828]
UGC07125,0.24180968773355124,1434199.1845118457,6.89890995398934,0.8684003214455271,[0.22551205 0.26052164],[1396643.57049197 1470520.41350967],[6.83636242 6.96629032],[0.8499101  0.88707325]
NGC4214,0.8290838439832193,15986863.238096224,3.0353485940058924,2.1611890779651093,[0.8227185  0.83578504],[15751464.28135553 16253350.26126891],[3.01420043 3.06250258],[2.0806742  2.24018837]
UGC05918,0.35071646300870973,3743126.1045585456,3.1537631832281385,0.4605368398601457,[0.23375154 0.46718803],[3238271.62850409 4219958.22988766],[2.96147287 3.36487007],[0.42032977 0.49866658]
NGC0801,0.4788741960264623,0.8533886033511058,437240.34446998284,0.08001144971326041,[0.47864229 0.47906146],[0.77946333 0.98307242],[392326.16534134 465590.17999087],[0.07943885 0.08080943]
UGC02455,0.032967914106309004,7442539.591610276,28443.485447743416,16.627774193831037,[0.03163427 0.03398959],[7234013.85494125 7572525.00544168],[7.32240884e+01 8.98600307e+06],[13.47866425 18.87939949]
UGC03580,0.15134618026676722,71879.42504693208,72.02674491734814,0.08957821630426714,[0.15096686 0.15174325],[71110.54595943 72820.60137698],[71.51228507 72.44886195],[0.0892711  0.08989599]
NGC4010,0.2816153002972774,10177831.37114503,6.422028571066417,5.493875746851542,[0.27835683 0.28524172],[10123057.09409375 10233721.41239572],[6.40802619 6.43665865],[5.39722401 5.60012831]
D631-7,0.22445094325144505,4152134.3963204753,4.903514011829742,3.336304503440682,[0.21751639 0.23088972],[4130595.90970872 4175470.3417454 ],[4.89052812 4.91670285],[3.28259625 3.39782456]
NGC3953,0.5919281545592247,517556.47622850427,90.24739813522382,14.015427734656344,[0.59155651 0.59226293],[484902.37806382 537457.78866134],[ 31.36773911 752.13835248],[ 9.95134535 17.90938027]
NGC0289,0.7791105938245901,612853.178551446,32.44893298961666,3.117602958747258,[0.77852606 0.77964627],[611950.50150739 613576.71948323],[32.41863583 32.47757556],[3.09593131 3.13661756]
NGC1705,0.6225003659558532,16250427.384747487,2.358881154948562,0.14898857140504063,[0.58293746 0.66419602],[14400556.91614684 18223334.47183457],[2.23286941 2.50887183],[0.14075766 0.15753336]
UGC00634,0.9990712215641102,7016.045402151161,92641.84888517251,8.176279347188384,[0.99645993 0.99995436],[3.44649354e-01 1.89754036e+06],[6.93041374e+02 4.16116720e+06],[ 0.53428807 14.44455819]
UGC05716,0.9999797634334899,2266750.3955161544,6.704521317044103,0.7207375139700338,[0.99995437 0.99999396],[2264199.47827148 2268649.96720136],[6.70164003 6.70785227],[0.7196201  0.72149932]
UGC03205,0.7384500220347586,1400754.7151269796,22.603435992657566,2.358432013259476,[0.73834333 0.73856863],[1400033.30725272 1401354.21687324],[22.59816828 22.60826131],[2.3548831  2.36251775]
F574-1,0.002125166439679179,6745843.9288435485,5.678088338126398,0.6228275165072561,[0.00064506 0.00519638],[6697317.35255715 6792859.65751444],[5.66243592 5.69861029],[0.61721451 0.6285938 ]
DDO168,7.443439682862778e-05,15869084.69132591,2.5321541589438072,9.519573541962018,[2.33437408e-05 1.90309145e-04],[15844259.18091864 15894998.43955196],[2.53083572 2.53354436],[9.43579948 9.6100476 ]
PGC51017,0.43375325455443475,1.7677652372152872e-13,5.4447217325303445e-06,8.922372764287413,[0.42998666 0.43720036],[4.77495107e-53 2.08073882e+03],[7.17032367e-29 1.92647604e+05],[ 2.65826001 16.32364784]
NGC4389,0.080422095588539,14716946.026386322,27279.165896062637,9.651123753296028,[0.07873629 0.0822746 ],[14073262.63923511 15424262.86941002],[1.00603007e+02 4.39960000e+06],[ 7.96933604 12.24798171]
UGC06786,0.06114254397960003,13551832.453392897,8.416487659776799,0.0757407301184779,[0.06072585 0.06153929],[13498944.61125997 13602002.82911156],[8.40179706 8.43201859],[0.07565439 0.07582649]
