Galaxy,Y*,Y*_err
NGC5585,0.32435414768671555,[0.32426395 0.32443911]
UGC05764,3.6613568611407823,[3.66094622 3.66173105]
DDO161,3.7295247477522414e-08,[-8.98471420e-03  2.23020502e-07]
UGC07125,1.7909367869608397e-07,[-1.17761042e-02  7.03062776e-07]
NGC4214,0.9281380732622022,[0.92553991 0.93066115]
UGC05918,0.2360940998841649,[0.23172359 0.24048988]
NGC0801,0.23687126172162312,[0.23682337 0.2369124 ]
UGC02455,4.845293597873959e-06,[-9.17882015e-03  1.51603026e-05]
UGC03580,0.348185141368317,[0.34815498 0.34821424]
NGC4010,0.40636862406103924,[0.40588834 0.406852  ]
D631-7,1.9704984344838393e-06,[3.72404098e-08 6.39151349e-06]
NGC3953,0.48511315912192393,[0.48493867 0.48529361]
NGC0289,0.3581570801134968,[0.35794919 0.35832902]
NGC1705,1.6240079536411358,[1.62146563 1.62641589]
UGC00634,0.6966613551820351,[0.6964235  0.69691767]
UGC05716,0.6158838545635155,[0.61582438 0.61593742]
UGC03205,0.6009617264848424,[0.60093843 0.60098622]
F574-1,0.5984167636475957,[0.59742452 0.59945317]
DDO168,0.013148559766351941,[0.01241957 0.01391886]
PGC51017,1.0647229740216047e-06,[-8.31942112e-03  3.88400603e-06]
NGC4389,0.11258796814755224,[0.11199389 0.11322818]
UGC06786,1.0857255465505213,[1.08570067 1.0857468 ]
UGC07399,2.4302551686039155,[2.42861403 2.43178512]
UGC07608,1.5681608551696486,[1.54356538 1.58928709]
UGC00731,0.8442111414314122,[0.84136169 0.84682562]
NGC6195,0.5568450036871513,[0.55678281 0.55690834]
DDO170,1.1742231304808054e-07,[-1.19598698e-02  5.45770422e-07]
UGC08699,0.7115624502060107,[0.71151197 0.71160576]
NGC3972,0.5687596371194419,[0.56816575 0.56930586]
UGC05005,0.09697802040649489,[0.09371611 0.10010573]
UGC07603,0.9134801830222452,[0.91183437 0.91527317]
UGC07261,0.44140825597513683,[0.43878422 0.44421981]
NGC5985,0.9899726133258608,[0.98991594 0.99003791]
UGC06787,1.0501654238616063,[1.05015833 1.05017276]
F568-1,1.9207095964073861,[1.91160284 1.92938469]
UGC05986,0.936445845466085,[0.93615001 0.93671736]
UGC02885,0.6262372576700961,[0.625916 0.626528]
NGC2683,0.5317040333196354,[0.53144284 0.53194024]
NGC3741,0.5821244699706716,[0.57883629 0.58616202]
NGC7793,0.44017645383322634,[0.43961882 0.44076069]
NGC3992,0.6074789805768623,[0.60728521 0.60767734]
UGC11557,0.06737298599112664,[0.06662833 0.06807081]
NGC2366,8.117928024820334e-06,[1.28001360e-07 2.56952181e-05]
UGC07866,0.01713823715909614,[0.01328369 0.02076588]
UGC00891,0.1975749189169207,[0.19744255 0.19771894]
UGCA444,0.00017796137479853896,[1.86933187e-05 5.37276122e-04]
UGCA281,0.2748179978978031,[0.27365565 0.27613083]
NGC5055,0.3212423151911149,[0.32124105 0.32124361]
UGC07323,0.2839999548791505,[0.28325916 0.28466913]
NGC4051,0.3065252975445516,[0.3061396  0.30687595]
UGC01230,0.3161657294826792,[0.31099252 0.32129304]
ESO079-G014,0.6009484296430962,[0.60086099 0.60103461]
NGC5907,0.424070172928459,[0.42404784 0.42408976]
UGC05253,0.6920313758648353,[0.69202266 0.69203962]
DDO064,0.3926729459225201,[0.3856454  0.39983789]
NGC6789,2.06206891143416,[2.03608372 2.08409722]
F561-1,5.620667457251864e-06,[-9.41371824e-03  1.89947945e-05]
UGC07151,0.4421279195314126,[0.44173085 0.4425462 ]
NGC0024,1.0875963422129296,[1.08671267 1.08848366]
UGC04278,0.6583965714557738,[0.6568915  0.65983624]
UGC02916,0.6505076400734393,[0.65049891 0.65051613]
NGC2841,1.0822814764555022,[1.08221338 1.08234332]
UGC02487,0.9773099059242114,[0.97728484 0.9773375 ]
F565-V2,1.271339999312592,[1.25896555 1.28388181]
UGC07690,0.3824981304092808,[0.38034712 0.38463843]
UGC04305,9.055619683194001e-07,[2.18583191e-08 3.40326859e-06]
UGC04325,1.106327189344245,[1.10532452 1.10742189]
IC4202,0.7209289624510282,[0.72085898 0.72100386]
NGC2403,0.6856656137987441,[0.68566317 0.68566831]
UGC06983,0.7508240080687292,[0.74986738 0.75180059]
NGC6503,0.4696957566988579,[0.46967448 0.46971891]
UGC07559,4.004703859561128e-05,[-0.01323575  0.00014332]
NGC3949,0.38380646882505576,[0.3834131  0.38417937]
NGC6946,0.4218136205442046,[0.42180288 0.42182473]
NGC1003,0.26781236063943514,[0.26772653 0.26790444]
NGC0055,5.837504138931024e-07,[4.29451673e-08 1.83367991e-06]
NGC4138,0.6269824453059412,[0.62614624 0.62783867]
F583-1,0.880032005058715,[0.8777042  0.88239634]
UGC00191,0.24877735571955978,[0.24869698 0.2488547 ]
UGC07524,0.2392993588960729,[0.23885072 0.23974145]
UGC04499,0.19105693604603885,[0.1903283  0.19170676]
ESO563-G021,0.8505876329742816,[0.8505057  0.85066868]
NGC7331,0.36997949444623657,[0.36995259 0.37000189]
UGC12632,0.21663832740433261,[0.21591768 0.21740619]
NGC5033,0.6846542304057271,[0.68461491 0.68469253]
NGC0300,0.697994592866016,[0.69763347 0.69836739]
UGC03546,0.5415893086157001,[0.54158368 0.54159458]
UGCA442,0.9165344730271188,[0.91582062 0.91718392]
UGC06399,0.6129412573888486,[0.61113161 0.61471423]
