Galaxy,Y*,rho0,Rs,Y*_error,rho0_error,Rs_error
NGC5585,1.8670037093439545e-05,7797029.861174319,9.480711901454569,[7.72100141e-07 7.13896806e-05],[7789755.15702193 7804608.31445864],[9.47543602 9.48667558]
UGC05764,0.00018445755783577498,51871677.06812533,2.132314194784321,[1.04853395e-05 6.01892817e-04],[51812391.13326144 51955245.44879353],[2.13052181 2.13384395]
DDO161,2.3498553175771653e-05,786284.8520532392,23.800305067066535,[2.31575490e-06 6.80332083e-05],[784260.67204836 788278.6215527 ],[23.75792054 23.84129454]
UGC07125,0.1056931536165091,3521011.4191872245,8.51632287347336,[0.09519244 0.11502114],[3433903.50796444 3620610.97940116],[8.41372337 8.6125245 ]
NGC4214,0.0007937691085671645,161115785.5615754,1.8175259498243215,[2.40271191e-05 2.46729408e-03],[1.58072971e+08 1.64087841e+08],[1.80026008 1.83898197]
UGC05918,0.6997212164332887,4362713.495372391,5.928709709390326,[0.6109005  0.79374264],[4042472.74795418 4702292.45201983],[5.66567912 6.19526806]
NGC0801,0.4684859558853802,23.530482700324473,717094.2573242781,[0.46837552 0.46859685],[18.41086142 37.92222779],[444934.57057552 916448.78063297]
UGC02455,2.0518796868476267e-05,399.7257462072722,52119.28636112342,[-9.87428138e-03  6.82782345e-05],[  68.48041169 1255.95546929],[ 16611.12072615 304136.6460839 ]
UGC03580,0.243935901149822,2864129.1216092114,20.855871254661018,[0.24382296 0.24404368],[2861492.99042733 2866479.12939312],[20.84529415 20.86785246]
NGC4010,0.3224684219889856,1852131.281483925,31.10923030843394,[0.31815988 0.32709449],[1776882.34235953 1921418.27070049],[30.36195601 31.95996748]
D631-7,1.778616875484504e-05,63.60135087040491,271860.84615479555,[-1.13081399e-02  8.20180914e-05],[27.77553611 75.72762365],[228129.33516644 621842.31369344]
NGC3953,0.20121560026449314,72488450.337239,6.266021360020526,[0.1981001  0.20429288],[71792545.01240344 73270239.26742728],[6.24600358 6.28829868]
NGC0289,0.5368058996175928,1377746.7610052037,37.39687712949029,[0.53611463 0.53750222],[1369139.9824478  1387312.10593754],[37.25529949 37.53021318]
NGC1705,0.8783286289461177,54429799.46686087,2.5880549717930057,[0.85485589 0.90374007],[50751092.83936587 58541193.66922921],[2.49425292 2.68286341]
UGC00634,8.266100851673494e-05,4339161.055617607,15.20162786137835,[5.27500832e-06 2.46612103e-04],[4320498.52338943 4355606.99052339],[15.17092524 15.2413951 ]
UGC05716,1.5554501904465224e-05,7664586.212282059,7.232446662349462,[1.61464820e-06 4.61446561e-05],[7661006.91237945 7668927.55284283],[7.22996981 7.23472046]
UGC03205,0.6060508420028585,1590432.0488733398,42.774951706065245,[0.60583489 0.60625846],[1586116.79762807 1595276.42527793],[42.69631185 42.84591016]
F574-1,0.14007476468602717,7920467.22929713,10.249248989852656,[0.10732559 0.17297973],[7690883.055879   8157370.43069502],[10.14381544 10.35244894]
DDO168,3.560467825197767e-05,196.44904126956595,134663.84761911817,[6.33104917e-07 1.02801469e-04],[  50.90179343 1093.16945332],[ 24189.63384654 519923.81404498]
PGC51017,0.43317938342549317,2.151681124520117e-100,4.604916516729825e-81,[0.42967116 0.43671194],[4.87369650e-237 1.20945089e-008],[2.13650013e-210 6.27917852e-008]
NGC4389,4.9735445253221504e-05,124.05707716193002,577426.8347379512,[1.84312595e-06 1.72156048e-04],[ 77.27377423 576.62210567],[123904.52661991 927030.58580653]
UGC06786,0.5451908580547105,8163817.660664468,21.279378581801623,[0.54503381 0.54533462],[8154560.58086351 8173588.13556606],[21.26558025 21.2929427 ]
UGC07399,0.00020552250030394584,51695910.18580272,4.105058239321544,[5.66900159e-06 7.18506811e-04],[51446974.46306097 52007394.35772983],[4.09128928 4.11871868]
UGC07608,0.4700914106876835,112798.995201898,292.72773693386046,[0.36168576 0.59059585],[  6806.93912714 315443.60176654],[ 108.80479754 4754.18953771]
UGC00731,0.9989584783590428,6054422.308430753,7.87065059853013,[0.99668181 0.99998033],[6013766.69337137 6111627.83297979],[7.82464408 7.91207175]
NGC6195,0.6085175272941354,15.569146098766945,893515.9490415319,[0.60843292 0.6086088 ],[14.30419553 17.97867205],[773446.67257042 972412.46645517]
DDO170,0.9998251569071924,953831.2089949496,18.11595946174861,[0.99948302 1.00749433],[950056.09769773 957398.31109109],[18.06857396 18.16920911]
UGC08699,0.6444454505060877,2147379.9933837703,33.39637992664322,[0.64435528 0.64453851],[2139594.55798695 2155306.7164924 ],[33.30568413 33.4853872 ]
NGC3972,0.11660154860829736,6018114.71718969,18.98366340794807,[0.11174049 0.12185293],[5913865.30305499 6123405.08931386],[18.78606537 19.17759092]
UGC05005,0.006750511516778481,745489.9799398303,35.69054487706144,[0.00160971 0.01758532],[713075.76802585 784529.42099306],[34.54418583 36.77276458]
UGC07603,0.06812605842852945,22385980.62669913,4.04721453284518,[0.05495534 0.08114303],[21809720.59096018 23095646.67218711],[3.97943103 4.10901519]
UGC07261,0.21270991668161365,26654766.813248042,3.8567630807965454,[0.19474595 0.23068548],[25058380.68106241 28112400.79083781],[3.75840787 3.97263248]
NGC5985,1.5007004012927913e-06,114583858.62079296,7.947758130250458,[2.48969275e-07 4.64903260e-06],[1.14483082e+08 1.14672808e+08],[7.94464492 7.95090988]
UGC06787,0.07669262330630708,353864913.4066409,3.7393423141477484,[0.07651803 0.07687377],[3.53632759e+08 3.54097244e+08],[3.73842634 3.74024667]
F568-1,0.22395641723347173,5507508.9507128,18.830507719772903,[0.13344991 0.31905057],[5166423.86408665 5890906.93593477],[18.15400752 19.55209246]
UGC05986,0.6375965266503762,892218.9297007726,65.66465532542372,[0.63597208 0.6393223 ],[872256.00066729 913849.96449253],[64.33185868 66.92944876]
UGC02885,0.722373309738009,42.837050672287646,674850.9596220911,[0.72197169 0.72284864],[32.34571885 66.62389124],[433644.34516376 893323.7411573 ]
NGC2683,0.219401155425548,171996754.60400245,3.7763673562154816,[0.21699234 0.22220322],[1.67554998e+08 1.76141574e+08],[3.7413179  3.81478646]
NGC3741,0.29164923567939427,888011.1455370032,22.354945381401503,[0.27931792 0.30463092],[872896.00024799 905860.60629798],[22.00662818 22.6603596 ]
NGC7793,0.4516290195513118,4330873.775999302,12.22938320031614,[0.44882754 0.45413522],[4155393.01733101 4519760.41384889],[11.91638924 12.55451675]
NGC3992,0.3487671983272057,29815282.48252686,11.323796628428793,[0.34711303 0.35035788],[29482736.69886361 30151616.5994134 ],[11.27279448 11.37651981]
UGC11557,0.2708592423569395,467.56910812614166,26251.355831969584,[0.26664455 0.27648303],[  38.25288698 5046.04750471],[  2483.32357433 323853.55102215]
NGC2366,3.057235548667436e-05,3801418.9106381657,8.304360493238576,[-0.00948885  0.00010632],[3775498.77761391 3823022.69351962],[8.25828408 8.34623549]
UGC07866,0.5739708218901669,781.5356649178173,13245.997925387754,[0.52610878 0.62955464],[   39.5293815  33303.79561096],[   308.43575776 258900.79321287]
UGC00891,8.205465127508648e-05,509547.6571949739,45.08790431755403,[4.97750096e-06 2.52668016e-04],[506880.67570055 512356.65003343],[44.84631548 45.28597677]
UGCA444,0.2900900796884198,371.99588956415886,41360.31826641201,[0.16965514 0.42031841],[  42.31097819 4399.33957031],[  3498.68288538 362916.67105791]
UGCA281,0.6950200465915259,18.265924448647105,980828.3663233853,[0.68642479 0.7017456 ],[17.99115031 18.82207192],[952704.61766028 992910.46834906]
