Galaxy,Y*_disk,Y_star_bulge,M_200,beta,lambda,Y*_disk_error,Y*_bulge_error,M_200_error,beta_error,lambda_error
UGC11455,0.37055306573544156,0.4939292566030994,2430114232868.47,-1.9989281152557663,1.9891077229233205,[0.36021481 0.38039596],[0.48326447 0.50297916],[2.37834269e+12 2.49063224e+12],[-2.0086298  -1.98894232],[1.97929265 1.99985416]
NGC5985,0.7976233233575667,0.553929434015737,3548245137308.904,2.000123350758824,6.151197687920976,[0.78813629 0.80756887],[0.54343562 0.56322842],[3.48346156e+12 3.63953194e+12],[1.9902782  2.01019005],[6.14178569 6.16165264]
UGC06917,0.36351122834479604,0.29925956129100073,214473284031.8733,0.11322010031440657,8.6647343801205,[0.35387914 0.37314884],[0.29142775 0.30931165],[2.09195240e+11 2.19439376e+11],[0.10330767 0.12491366],[8.65445931 8.6742046 ]
UGCA281,0.7869102505514725,0.8005774955070566,598903873435.4324,-0.7641273111255407,87.1583436957539,[0.77678954 0.79648789],[0.79042185 0.81047147],[5.83874941e+11 6.12138317e+11],[-0.77446135 -0.75485884],[87.14746945 87.16806493]
UGC07559,0.4167188028175779,0.2997622578596123,1096019632172.863,-0.8786982837636752,97.66473511340448,[0.40685411 0.42714279],[0.29006761 0.30973155],[1.06856888e+12 1.12055682e+12],[-0.88860241 -0.86949621],[97.65535587 97.67461487]
F567-2,0.32770150424916733,0.7240476485168774,2472272966825.58,-0.5991454991557695,67.48211435158834,[0.31662312 0.33746455],[0.71377692 0.73381245],[2.41351971e+12 2.53084589e+12],[-0.60995756 -0.58891438],[67.47186517 67.49238282]
NGC3741,0.4200564932373796,0.3960605098962533,645419319429.9728,-0.7855727377721381,98.53982204376122,[0.4107172 0.429718 ],[0.38655876 0.40540354],[6.30897859e+11 6.61286018e+11],[-0.7965961  -0.77667327],[98.53067048 98.54910442]
UGC07690,0.6067503427115889,0.46608995284973664,7182150824.459144,1.9995568077449986,1.5132235573086765,[0.59777772 0.61658949],[0.45433495 0.4757681 ],[7.01657297e+09 7.35565821e+09],[1.98955839 2.00976738],[1.50238179 1.52332283]
NGC4214,0.4790679220446503,0.4865729516936688,14593899916.610075,2.0003199669428113,16.970233224080857,[0.46803619 0.48840912],[0.47735454 0.49589143],[1.42748216e+10 1.49270959e+10],[1.99016929 2.01019916],[16.96097494 16.9798357 ]
F571-V1,0.4746437428546879,0.6102310783101859,365180390784.905,-0.5576189415559609,99.9997613716572,[0.46514895 0.48409334],[0.60043782 0.62081944],[3.57165119e+11 3.73173381e+11],[-0.56710082 -0.54716709],[ 99.99064952 100.0092077 ]
NGC4157,0.30002696187368827,0.5129276449637856,21130659484031.7,-0.8101391522349299,90.14802760750797,[0.29050088 0.30979352],[0.50326737 0.52265602],[2.0690827e+13 2.1657136e+13],[-0.81956703 -0.80014195],[90.13774203 90.15860565]
NGC2841,0.5038202546695896,0.7275403760065964,7079625117.614484,-1.4784759937715362,0.06736424850461314,[0.49444379 0.51266042],[0.71775356 0.73709715],[6.91072711e+09 7.25343487e+09],[-1.48845877 -1.46851297],[0.05820817 0.07684345]
DDO154,0.5427089982325521,0.2999169053759657,182709297689.68344,-0.6632990427764076,98.94830554659964,[0.53378224 0.55301152],[0.28943192 0.31033162],[1.78206201e+11 1.87099226e+11],[-0.67334921 -0.65340295],[98.93879897 98.9584964 ]
UGC02953,0.800292375318637,0.5653642007366437,822275674631.0841,1.2511944307755831,59.63348670902894,[0.78970903 0.8110233 ],[0.55511087 0.57555002],[8.01142927e+11 8.39874636e+11],[1.24286108 1.26148752],[59.62342495 59.64318639]
UGC09133,0.4992412697704771,0.8000957685831946,2090678454901.1216,-0.3436301692399339,48.96293523080138,[0.48978997 0.50918397],[0.79068398 0.80919357],[2.04667918e+12 2.14249008e+12],[-0.35399973 -0.33498265],[48.95327212 48.97309602]
NGC2976,0.37448394666413476,0.539924393442976,519951128458.6112,-1.26095210259093,0.6456844375778114,[0.3644306  0.38658427],[0.52996128 0.54979235],[5.08054127e+11 5.31920025e+11],[-1.27046357 -1.25006279],[0.63562209 0.65498857]
NGC2955,0.6966700674117225,0.30040586922683243,2262420179561.9556,0.02860157502118111,28.76720058604649,[0.68636104 0.70686132],[0.28989769 0.3095938 ],[2.21356721e+12 2.31471856e+12],[0.01842502 0.0379276 ],[28.7573617 28.7774042]
